Sporadic-A2;2205;0.00;5.66;4.19;4.12;9;-98;155;536;-112;-58;99112.80;8.25;0;0;0;0
Sporadic-A2;3283;-0.21;5.55;4.11;4.03;42;-56;159;535;-117;-59;99115.27;8.32;0;0;0;0
Sporadic-A2;4332;-0.51;5.71;4.18;3.98;45;-72;140;533;-123;-57;99118.85;8.40;0;0;0;0
Sporadic-A2;2186;0.00;6.26;4.55;1.61;-98;-4022;621;510;-120;-144;99125.17;8.38;0;0;0;0
Sporadic-A2;3234;-0.56;6.19;5.23;0.14;-14;-88;-344;500;-136;-96;99131.75;8.44;0;0;0;0
Sporadic-A2;4283;-0.16;6.16;4.47;0.70;262;-352;124;516;-126;-88;99127.05;8.52;0;0;0;0
Sporadic-A2;5347;-1.02;6.43;4.78;0.72;116;-44;67;521;-127;-79;99137.25;8.59;0;0;0;0
Sporadic-A2;6394;-0.52;4.93;6.19;1.03;-1508;1445;-153;445;-173;-111;99131.31;8.65;0;0;0;0
Sporadic-A2;7444;-1.22;4.95;5.71;2.36;-570;849;271;407;-199;-97;99139.58;8.72;0;0;0;0
Sporadic-A2;8493;0.24;1.39;6.82;3.66;620;1296;-499;313;-225;-41;99122.42;8.78;0;0;0;0
Sporadic-A2;9541;0.08;2.65;7.26;2.64;624;52;-651;362;-222;-14;99124.24;8.83;0;0;0;0
Sporadic-A2;10590;-0.64;0.51;9.09;2.21;-493;1330;-429;330;-228;22;99132.69;8.87;0;0;0;0
Sporadic-A2;11653;-0.54;0.71;8.11;1.90;-42;-570;-488;313;-203;93;99131.50;8.92;0;0;0;0
Sporadic-A2;12701;0.28;0.23;8.29;0.39;1424;1686;645;321;-207;77;99121.85;8.96;0;0;0;0
Sporadic-A2;13750;-0.40;0.08;6.67;0.26;92;264;10;338;-182;64;99129.97;9.00;0;0;0;0
Sporadic-A2;14798;0.43;0.10;7.98;0.17;4;-34;68;350;-256;60;99120.13;9.04;0;0;0;0
Sporadic-A2;15847;-0.27;0.05;9.40;0.47;-36;-35;89;311;-243;69;99128.43;9.05;0;0;0;0
Sporadic-A2;16896;0.09;0.16;8.38;0.68;87;-306;-110;299;-277;71;99124.17;9.04;0;0;0;0
Sporadic-A2;17958;0.74;0.16;7.90;0.08;-31;-63;88;457;-151;99;99116.44;9.05;0;0;0;0
Sporadic-A2;19006;0.83;0.18;7.79;0.12;106;-291;126;300;-196;66;99115.42;9.05;0;0;0;0
Sporadic-A2;20055;1.24;0.37;8.26;0.38;40;-74;75;312;-218;70;99110.61;9.05;0;0;0;0
Sporadic-A2;21103;1.47;0.04;8.25;0.52;-183;-200;128;320;-226;82;99107.86;9.07;0;0;0;0
Sporadic-A2;22152;1.37;0.04;8.24;0.10;-80;-177;138;322;-228;82;99109.07;9.10;0;0;0;0
Sporadic-A2;23200;1.56;0.10;8.25;0.20;28;-100;116;335;-233;83;99106.78;9.13;0;0;0;0
